,Buffer,pH,precipitant,Salt
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
SampleName,0.7,0.752380952,0.814021702,0.444444444
